1,183,2016-06-01 10:47:40
1,212,2016-06-01 10:12:50
1,353,2018-02-02 01:04:42
1,471,2017-08-17 21:05:06
1,475,2017-04-06 13:44:27
1,508,2017-12-29 21:17:19
1,580,2017-12-12 14:33:06
2,12,2016-12-14 12:57:48
2,67,2016-04-18 19:31:31
2,136,2017-05-26 18:15:54
2,268,2017-08-06 08:44:43
2,280,2017-12-29 23:41:19
2,408,2016-02-11 00:44:10
2,415,2016-10-05 05:32:55
2,439,2017-03-07 07:15:59
2,543,2016-12-17 17:10:50
2,699,2016-04-10 08:07:50
2,951,2017-08-16 14:46:20
2,975,2017-09-25 19:55:00
3,33,2017-10-29 03:57:02
3,89,2017-10-26 06:13:46
3,254,2016-03-20 11:56:05
3,274,2018-02-13 21:42:42
3,747,2016-02-04 06:02:16
4,109,2017-06-28 00:18:23
4,349,2017-11-16 18:53:40
4,689,2016-06-04 17:22:55
4,827,2016-04-08 06:33:09
5,172,2017-03-27 02:39:43
5,337,2017-07-13 05:02:56
5,391,2018-04-06 19:29:41
5,414,2017-10-16 01:09:54
5,439,2018-05-01 03:25:13
5,490,2018-01-30 22:10:13
5,522,2016-09-11 12:50:28
5,579,2016-01-07 17:00:38
5,630,2017-11-08 09:12:35
5,726,2017-09-14 05:49:01
5,954,2017-05-28 16:58:25
6,273,2017-03-31 16:49:59
6,301,2017-01-11 06:53:18
6,339,2017-08-06 14:17:28
6,366,2018-01-30 11:04:09
6,514,2016-10-10 23:19:24
6,643,2016-05-16 02:52:41
6,708,2016-03-10 13:43:19
6,744,2016-07-03 01:02:11
6,791,2016-09-22 10:01:18
6,875,2017-04-17 05:18:46
7,80,2016-03-16 23:37:04
7,225,2016-08-23 16:28:28
7,234,2018-02-14 09:10:09
7,331,2016-09-15 18:15:56
7,505,2017-10-24 00:53:25
7,552,2018-04-17 00:40:33
7,671,2016-03-02 14:03:14
7,829,2017-04-16 20:22:43
7,872,2018-03-25 11:17:21
7,908,2017-09-25 14:37:07
7,950,2016-07-05 15:45:56
8,57,2017-04-25 08:29:48
8,173,2016-12-18 19:08:02
8,265,2016-02-17 06:40:21
8,266,2017-01-29 11:48:47
8,285,2016-08-05 21:29:53
8,344,2016-01-16 13:35:03
8,801,2017-10-02 10:35:58
8,806,2016-09-18 22:48:03
8,880,2017-11-21 05:21:41
9,239,2017-01-08 02:52:19
9,274,2016-08-24 21:44:17
9,285,2016-06-23 08:39:43
9,462,2017-10-03 08:04:07
9,600,2016-12-28 21:25:34
9,613,2016-07-28 07:07:49
9,714,2016-05-29 02:09:05
9,804,2016-11-26 17:54:43
10,120,2016-08-26 04:16:06
10,195,2017-06-08 10:17:29
10,278,2016-11-24 08:16:23
10,310,2017-04-16 14:33:39
10,438,2016-09-02 08:33:24
10,513,2016-03-17 01:28:38
10,591,2016-11-15 01:51:07
11,306,2016-03-05 09:35:27
11,665,2016-08-24 03:06:22
11,847,2018-04-09 17:21:41
11,902,2016-02-15 07:32:39
12,39,2017-09-02 22:29:12
12,337,2017-05-26 20:29:07
12,438,2017-01-20 19:09:15
12,958,2017-11-19 20:50:33
12,970,2016-11-28 06:10:28
13,166,2016-10-16 20:18:42
13,187,2017-07-24 22:06:47
13,276,2017-05-09 17:05:32
13,341,2017-03-23 08:38:04
13,426,2017-08-25 07:21:49
13,453,2016-08-31 01:20:16
13,646,2018-03-29 05:16:54
13,737,2016-08-14 18:03:19
13,865,2017-03-12 07:55:29
13,952,2018-04-16 10:09:27
14,20,2016-03-28 09:41:58
14,36,2016-08-22 03:11:29
14,127,2017-03-03 08:51:20
14,184,2016-08-22 10:20:52
14,222,2016-09-25 18:16:33
14,695,2017-11-02 12:32:35
14,725,2016-10-27 15:59:20
14,757,2017-08-17 05:34:54
15,84,2016-05-03 22:20:31
15,230,2016-01-08 03:02:48
15,241,2017-05-13 00:16:41
15,308,2017-07-14 21:35:17
15,365,2018-04-13 13:05:24
15,520,2016-10-05 09:26:35
15,688,2016-12-05 06:11:05
15,812,2017-03-02 18:14:43
16,15,2016-04-06 03:07:15
16,205,2016-04-22 08:34:04
16,322,2018-01-16 07:00:55
16,345,2018-01-20 21:58:13
16,584,2016-10-23 05:16:40
16,765,2017-03-17 14:55:29
16,836,2016-02-14 17:30:41
16,875,2017-04-07 05:50:19
17,46,2016-06-18 22:23:43
17,167,2017-02-14 20:36:14
17,307,2018-01-12 11:59:45
17,309,2016-12-05 18:10:36
17,317,2017-10-19 18:43:20
17,570,2017-01-04 12:58:52
17,707,2016-05-08 10:14:13
17,761,2017-02-04 08:03:39
18,102,2016-02-23 07:32:58
18,108,2018-01-10 23:28:03
18,248,2017-12-07 21:47:57
18,303,2017-06-08 22:38:02
18,304,2017-06-06 17:32:24
18,337,2017-09-26 07:54:09
18,341,2017-05-13 21:02:37
18,490,2017-01-31 18:08:08
18,540,2017-11-03 03:42:55
18,555,2018-02-20 23:44:15
18,598,2018-05-02 23:16:32
18,887,2016-06-06 06:26:26
18,897,2016-07-17 21:57:49
18,900,2017-09-20 11:10:56
18,931,2017-08-24 18:53:29
18,978,2018-02-02 04:46:03
